id,question,answer_1,answer_2,answer_3,solution
5117,"Nelle zone alpine del versante italiano, alla presenza del fenomeno di Foehn, sarà presente:","aumento della temperatura, forte vento laminare caldo e secco, assenza di rotori e turbolenza.","aumento della temperatura, forte vento a raffiche caldo e secco, presenza di rotori e turbolenza.","aumento della temperatura, forte vento laminare caldo e umido, assenza di rotori e turbolenza.",2
5118,In presenza di una catena montuosa alta 3000 m aria umida ad una temperatura di pianura di 10°C si solleva dando luogo allo Stau sino in cresta e al Foehn in sottovento. Se la quota di condensazione sopravvento è di 1000 m quale sarà la temperatura dell’aria all’arrivo in pianura appena sotto alla catena montuosa?,"La stessa che sopravvento, cioè 10°C.",13°C.,Circa 20°C.,3
5119,Alla presenza di una catena montuosa alta 3000 m aria umida ad una temperatura di pianura di 10°C si solleva dando luogo a Stau sino in cresta e Foehn sottovento. Se la quota di condensazione sopravento è di 2000 m quale sarà la temperatura dell’aria all’arrivo in pianura appena sotto alla catena montuosa?,"La stessa che sopravvento, cioè 10°C.",Circa 15°C.,20°C.,2
5120,"Quale tipo di microclima può avere una località posta immediatamente sottovento a una catena montuosa come quella alpina, rispetto a spostamenti di masse d’aria d’origine atlantica provenienti abitualmente dalla pianura francese?",Piuttosto siccitoso e ventoso a causa dei fenomeni di Foehn.,Molto umido e piovoso.,Molto più freddo di quello esistente immediatamente sopravento.,1
6001,Che cos’è l’altimetro?,È lo strumento che misura sempre la distanza di un apparecchio dal suolo.,È lo strumento che misura la velocità verticale di un apparecchio.,"È lo strumento che misura l’altitudine di un apparecchio rispetto ad un punto noto come, ad esempio, il livello del mare.",3
6002,Come funziona normalmente un altimetro?,"Misura la pressione atmosferica e quindi l’altitudine, utilizzando una capsula aneroide o un sensore elettronico.",Misura l’elevazione sul livello del mare utilizzando un sensore elettronico.,Misura la velocità verticale rispetto all’aria utilizzando un sensore elettronico.,1
6003,Per quale motivo un altimetro necessita di regolazioni?,Perché la temperatura dell’aria varia in relazione alle condizioni atmosferiche ed al variare dell’altitudine.,Perché la pressione atmosferica varia in relazione alle condizioni atmosferiche e non solo in relazione all’ altitudine.,Perché la pressione atmosferica varia al variare dell’altitudine.,2
6004,"Dopo aver regolato l’altimetro all’altitudine di decollo, effettuiamo il volo. Se all’atterraggio esso ci indica un’altitudine diversa da quella conosciuta, cosa può essere accaduto?",La pressione atmosferica è cambiata.,L’altimetro si è sicuramente guastato.,La temperatura dell’aria è cambiata.,1
6005,"Se regoliamo il nostro altimetro in base alla pressione presente al livello del mare (QNH), andando in volo potremo conoscere:",l’altezza geometrica sul terreno sottostante.,l’altitudine sul livello medio del mare.,l’elevazione sul livello medio della terra.,2
6006,Cosa è il variometro?,È lo strumento che in volo misura la velocità verticale.,È lo strumento che in volo misura le altitudini rispetto al livello del mare.,È lo strumento che in volo misura la velocità all’aria.,1
6007,Come funziona un variometro?,Misura la variazione istantanea della temperatura dell’aria a mezzo di un dispositivo elettronico.,Misura le variazioni anche minime di pressione atmosferica a mezzo di un barometro differenziale o di un sensore elettronico.,Misura le variazioni di pressione atmosferica a mezzo di un barometro a colonna.,2
6008,In quali situazioni l'uso di un variometro può essere di grande aiuto per la sicurezza in volo?,"Ad esempio, volando con copertura nuvolosa o sotto un cumulo, le indicazioni del variometro ci possono aiutare a capire se c'è aspirazione e se è il caso o meno di affrettare la discesa verso l'atterraggio o dirigersi verso zone non soggette al fenomeno.","Nel volo di dinamica, in quanto ci aiuta a capire dove si sale meglio, permettendoci di prolungare il volo senza rischi.","Non è uno strumento da considerare utile ai fini della sicurezza del volo, ma solo come ausilio per il veleggiamento.",1
6009,Che cosa può misurare l'anemometro durante un volo?,È lo strumento che in volo misura la velocità all’aria.,È lo strumento che in volo misura la velocità al suolo.,È lo strumento che in volo misura la velocità verticale.,1
6010,Come funziona un anemometro?,Misura la pressione statica di cui è dotato il vento relativo traducendola in indicazione di velocità.,Misura direttamente l’energia cinetica di cui è dotato il vento relativo traducendola in calore.,"Misura la pressione dinamica di cui è dotato il vento relativo oppure la sua velocità mediante dispositivi meccanici (elichette intubate, etc.).",3
6011,In quale caso l’anemometro può indicare la velocità al suolo con buona approssimazione?,"Quando il volo è effettuato in aria calma, in assenza di vento e su traiettoria poco inclinata.","In tutti i casi, indipendentemente dalla traiettoria.",In nessun caso.,1
6012,Che cosa è la bussola?,È lo strumento che indica la direzione del Nord magnetico.,È lo strumento che indica la direzione del Nord geografico.,È lo strumento che indica la direzione del Sud geografico.,1
6013,Come funziona la bussola?,Rileva mediante una calamita la posizione in cui si trova il Nord geografico.,Rileva mediante una calamita la direzione del campo magnetico terrestre e il Nord magnetico.,Rileva mediante un sistema meccanico la direzione dei meridiani terrestri.,2
6014,A cosa si deve prestare attenzione se vogliamo che la bussola funzioni nel modo più corretto possibile posizionandola tra gli strumenti?,"A nulla in particolare, la bussola indica sempre il nord magnetico.",A installarla in modo che il Nord magnetico coincida con il nord geografico.,"All'interferenza elettromagnetica con altri apparati elettronici, tipo radiotrasmittenti e, soprattutto, apparecchi telefonici cellulari, che, entrando in funzione, possono disturbare il campo elettromagnetico influenzando l'ago della bussola.",3
6015,E’ possibile affermare che il Nord geografico coincide con il Nord magnetico?,Si.,Dipende dalle stagioni dell’anno.,No.,3
6016,"Con bussola, altimetro, anemometro e variometro è possibile effettuare attività vololiberistica in condizioni di volo strumentale, ad esempio in nube?","Si, se adeguatamente addestrati.","Si, ma solo per breve tempo, perché la dotazione di strumenti non risulta completa.","No, la dotazione di strumenti non è affatto completa, manca l’informazione di posizione nello spazio.",3
6017,"Durante il volo, che cosa ci permette di misurare il GPS?",La velocità al suolo.,La velocità all'aria.,L'umidità relativa.,1
6018,Con il GPS è possibile volare con tranquillità nelle nubi?,"Si, in quanto il GPS indica la direzione in cui mi sto muovendo con esattezza.","No, anche perchè nella nube la ricezione del segnale inviato dai satelliti GPS può essere disturbata, rendendo inaffidabile lo strumento.","Si, ma solo se affianchiamo al GPS una bussola di tipo nautico.",2
6019,"Stiamo volando in presenza di vento molto forte. La nostra prua è diretta verso SUD. Sul display del GPS leggiamo una velocità di 3 km/h, direzione NORD. Cosa succede?",Lo strumento è evidentemente rotto.,Se sono sicuro di avere la prua diretta verso SUD evidentemente sto volando all'indietro. Il vento è superiore alla mia velocità all'aria e occorre aumentare la velocità prima possibile.,Non è possibile che si verifichi una situazione del genere.,2
6020,Come funziona un GPS?,Calcola la posizione nello spazio mediante un sensore di movimento.,Calcola la posizione nello spazio mediante il confronto dei segnali orari inviati da alcuni satelliti in orbita intorno alla terra.,Calcola la posizione nello spazio per mezzo di un barometro differenziale.,2
7001,Prima di recarsi al decollo in atterraggio è necessario:,verificare le condizioni del terreno.,"verificare le condizioni del terreno e del vento, mettere una manica a vento se non c’è.",lasciare in atterraggio mezzi e/o persone per il recupero dopo il volo.,2
7002,"Prima di intraprendere un volo di CrossCountry è necessario, oltre a tutto il resto:","nutrirsi adeguatamente, bere molto per evitare disidratazione, organizzare il recupero, dotarsi di mezzi per trascorrere eventualmente la notte all'addiaccio.","provvedere a che il volo si svolga il mattino, più presto possibile, per disporre di più ore di luce.","esaminare la carta aeronautica della zona, prendere nota di eventuali divieti e delle possibilità di atterraggio lungo il percorso, nonché fare un'attenta valutazione delle condizioni meteorologiche.",3
7003,"Quale inclinazione del pendio, assicurata la possibilità di una graduale e corretta rincorsa, è da considerarsi ottimale e sicura per il decollo?","Oltre i 20° e sino a 35°, risultando già così nettamente superiore alla pendenza della traiettoria di volo realizzabile.","Dai 35° ai 45°, in quanto solo così risulta nettamente superiore alla pendenza della traiettoria di volo realizzabile.","Oltre i 45°, per ottenere un rapido distacco dal terreno con garanzia di sorvolo degli ostacoli sulla traiettoria.",1
7004,Con quale tipo di corsa si deve effettuare il decollo in deltaplano e parapendio?,Con falcata corta ed a velocità costante.,Con falcata e velocità crescenti.,Con falcata corta e rapida presa di velocità.,2
7005,"Qual è in fase di decollo con deltaplano e parapendio, la prima manovra da eseguire appena staccati da terra oltre a quelle finalizzate al controllo della direzione?","Cabrare o trazionare i comandi rispettivamente, per non perdere eccessiva quota.",Sistemarsi adeguatamente nell’imbrago.,"Picchiare leggermente o rilasciare un poco i freni rispettivamente, per acquisire velocità.",3
7006,"Come è possibile ottenere, a prescindere da altre condizioni, il minor tasso di caduta possibile con deltaplano e parapendio?",Volando in linea retta ed all’incidenza massima consentita.,Volando comunque al regime di massima efficienza in aria calma.,Volando in linea retta ad una incidenza compresa tra quella di massima efficienza in aria calma e quella di stallo.,3
7007,Come varia l’efficienza all’aria di un’ala aumentando il vento frontale?,Aumenta.,Diminuisce.,Non varia perché l’efficienza all’aria dipende solo dall’angolo d’incidenza dell’ala.,3
7008,Se vogliamo comunque realizzare la massima autonomia chilometrica in deltaplano o parapendio dovremo:,limitare al massimo le manovre.,volare più possibile in linea retta ed al regime di massima efficienza al suolo.,volare più possibile in linea retta ed al regime di minimo tasso di caduta.,2
7009,"Se, in determinate condizioni aerologiche, vogliamo rimanere più tempo possibile in volo realizzando la massima autonomia oraria, dovremo:",limitare al massimo le manovre.,volare più possibile in linea retta ed al regime di massima efficienza all’aria.,volare più possibile in linea retta ed al regime di minimo tasso di caduta ottenibile.,3
7010,"Passando da condizioni di aria calma a condizioni di vento frontale, quale correttivo dobbiamo apportare alla velocità per garantirci la massima efficienza al suolo possibile?",Diminuire la velocità rispetto a quella di massima efficienza in aria calma.,Aumentare la velocità rispetto a quella di massima efficienza in aria calma.,Aumentare comunque la velocità sino alla massima possibile.,2
7011,"Volando in deltaplano o parapendio sappiamo che l’efficienza al suolo, quando il vento frontale varia, comunque:",varia.,"varia, ma solo se il vento frontale aumenta.",rimane invariata.,1
7012,L’efficienza al suolo:,diminuisce al diminuire del vento frontale.,diminuisce all’aumentare del vento frontale.,aumenta all’aumentare del vento frontale.,2
7013,In condizioni di ascendenza la massima efficienza al suolo si realizza volando:,con una incidenza maggiore di quella corrispondente al regime di massima efficienza in aria calma.,con una incidenza minore di quella corrispondente al regime di massima efficienza in aria calma.,comunque con l’incidenza corrispondente al regime di massima efficienza in aria calma.,1
7014,In condizioni di discendenza la massima efficienza al suolo si realizza volando:,con una incidenza minore di quella corrispondente al regime di massima efficienza in aria calma.,con una incidenza maggiore di quella corrispondente al regime di massima efficienza in aria calma.,comunque con l’incidenza corrispondente al regime di massima efficienza in aria calma.,1
7015,Stiamo volando ad una velocità rispetto al suolo di 10 km/h. C’è una componente di vento contrario pari a 30 km/h. Se avessimo l’anemometro quanto indicherebbe?,10 km/h.,20 km/h.,40 km/h.,3
7016,Stiamo volando ad una velocità rispetto al suolo di 60 km/h. C’è una componente di vento a favore pari a 30 km/h. Se avessimo l’anemometro quanto indicherebbe?,90 km/h.,30 km/h.,40 km/h.,2
7017,A quale scopo si utilizza l’acceleratore in parapendio?,Per aumentare l’efficienza suolo in condizioni di vento contrario.,Per aumentare il tasso di caduta e ridurre la velocità orizzontale.,Per aumentare l’angolo di assetto in condizioni di turbolenza.,1
7018,"In presenza di vento meteorologico, come si esegue una virata di 360° la cui traccia al suolo sia più possibile circolare?",Variando opportunamente l’inclinazione dell’ala durante la virata in funzione della deriva dovuta allo spostamento dell’aria rispetto al suolo.,Accentuando l’inclinazione laterale dell’ala durante la fase della virata con vento in prua.,Diminuendo l’inclinazione laterale dell’ala durante le fasi della virata con vento al traverso.,1
7019,"Come si eseguono le virate in dinamica di pendio ed in prossimità dello stesso, se si vuole avere il miglior rendimento garantendosi il massimo della sicurezza?",Eseguendo virate strette di 360° nel punto in corrispondenza del quale è massima l’ascendenza.,Eseguendo lunghi “otto” con inversioni di 180° ad alti angoli di inclinazione per rimanere in virata meno possibile.,Utilizzando la tecnica “a granchio” che consente di eseguire degli “otto” sul pendio evitando di assumere elevati angoli di rollio.,3
7020,Perché si fanno virate di 360° in termica?,Perché le termiche hanno sempre e solo un andamento ascendente elicoidale.,Per potersi mantenere all’interno della corrente ascensionale.,"Perché in virata continua, il tasso di caduta risulta essere minore.",2
7021,"Per sfruttare meglio le condizioni il pilota, entrato in termica o in dinamica:",interviene sui comandi per ridurre la velocità.,interviene sui comandi per aumentare la velocità.,non interviene più sui comandi per variare il regime di volo.,1
7022,È possibile andare in stallo volando a velocità prossima alla massima?,No.,"Si, se si diminuisce improvvisamente l’incidenza.","Si, se si aumenta improvvisamente l’incidenza oltre certi valori.",3
7023,A quale velocità è opportuno volare in forte turbolenza?,Alla minima possibile per ridurre le sollecitazioni nel delta e per garantire la massima pressione nei cassoni del parapendio.,Alla massima possibile indipendentemente dalle sollecitazioni per uscirne al più presto.,Ad una velocità di poco superiore a quella di massima efficienza in aria calma in delta ed alla massima compatibile con il mantenimento di adeguata pressione nei cassoni in parapendio.,3
7024,Come si determina dal volo la direzione del vento al suolo in assenza di manica a vento?,"Osservando ogni cosa che il vento può mettere in movimento (fumo, bandiere, panni appesi, alberi) e considerando l’eventuale presenza di deriva.","Osservando il segnavento del deltaplano o del parapendio se istallato, o valutando l’intensità del vento relativo in varie direzioni di volo.",Osservando il movimento delle nubi che è sempre possibile mettere in relazione con il vento al suolo.,1
7025,Che cosa si intende per circuito di avvicinamento ad “otto”?,Un tipo di avvicinamento che consente al pilota di effettuare poche virate per arrivare in atterraggio.,"Un tipo di avvicinamento che, con virate di oltre 180° sempre verso la superficie di atterraggio, consente al pilota di perdere quota mantenendosi costantemente in prossimità ed in vista di esso.",Un tipo di avvicinamento che consente al pilota di perdere quota facendo delle virate molto strette pur di mantenersi in prossimità dell’atterraggio.,2
7026,Che cosa si intende per circuito a “C” o aeronautico?,"Un tipo di avvicinamento composto da tre fasi distinte dette “sottovento”, “base” o “virata base” e “finale” che consente di arrivare al suolo con buona precisione evitando di fare molte manovre vicino al terreno.","Un tipo di avvicinamento molto complesso, costituito da molte fasi distinte e caratterizzato da manovre da farsi vicino al suolo.",Un tipo di avvicinamento valido solo per gli aeromobili e quindi non adatto al deltaplano ed al parapendio.,1
7027,L’area di atterraggio è molto frequentata. Se le altre condizioni lo permettono scegliamo di atterrare:,effettuando un circuito di avvicinamento ad “otto”.,effettuando un circuito di avvicinamento a “C”.,effettuando un avvicinamento diretto con delle “esse” in finale.,2
7028,"In un atterraggio in cui si presentano contemporaneamente molti deltaplani e parapendio, sarà opportuno:",impostare gli avvicinamenti con la tecnica a “C” rispettando le precedenze ed avviandosi all’atterraggio quando si è più in basso degli altri.,impostare gli avvicinamenti con la tecnica a “otto” rispettando le precedenze ed avviandosi all’atterraggio quando si è più in basso degli altri.,impostare gli avvicinamenti con l’una o l’altra tecnica fatto salvo il rispetto delle precedenze.,1
7029,Quando è necessario tenere particolarmente conto del gradiente del vento?,Volando in termica.,In atterraggio o durante il volo in prossimità del pendio.,In decollo perché la velocità del vento sicuramente diminuisce allontanandosi dal suolo.,2
7030,"Effettuando un avvicinamento con circuito a “C” in condizioni di vento sostenuto, è necessario iniziare la virata base:",ben oltre il traverso del punto di contatto.,non al di sopra dei 50 m di quota.,non troppo oltre il traverso del punto di contatto.,3
7031,"Se, per errore, l’asse prescelto dal pilota per effettuare una serie di “otto” in avvicinamento è troppo prossimo al punto di contatto, per non mancare l’atterraggio il rischio è quello di dover:",iniziare la virata in finale a quota molto alta.,effettuare il tratto finale su una traiettoria molto ripida.,effettuare la virata in finale a quota molto bassa.,3
7032,Durante la fase finale dell’atterraggio con vento forte in deltaplano o parapendio il pilota deve:,"attendersi una traiettoria ripida, aumentare la velocità all’aria al massimo per minimizzare l’effetto del gradiente del vento o del wind shear, raccordare moderatamente e solo in prossimità del suolo.","cercare di assumere la traiettoria più ripida possibile mantenendo la velocità di minimo tasso di caduta, in previsione del gradiente di vento raccordare moderatamente e solo in prossimità del suolo.",indipendentemente dalla traiettoria che ne risulta mantenere la minima velocità all’aria possibile e stallare non appena si incontrano condizioni di gradiente del vento.,1
7033,Per effetto del gradiente del vento vicino al suolo in atterraggio il pilota deve attendersi:,un aumento improvviso del tasso di caduta con probabile picchiata del mezzo che è possibile prevenire con una buona dose di velocità.,una improvvisa diminuzione di velocità al suolo per l’aumentata componente di vento contrario che non crea problemi di pilotaggio.,una perdita improvvisa di quota che non si può compensare aumentando decisamente l’incidenza.,1
7034,Il mantenimento della massima velocità in finale prima di iniziare a raccordare è necessario per:,poter stallare meglio in prossimità del suolo.,evitare gli effetti negativi di eventuale gradiente del vento o wind shear.,avvicinarsi al terreno con una traiettoria più ripida.,2
7035,"Il vento in atterraggio è sostenuto, volando in deltaplano o parapendio, per aumentare il margine di sorvolo di eventuali ostacoli lungo la traiettoria, al pilota conviene tra le seguenti soluzioni:",aumentare la velocità all’aria perché solo così facendo si ottiene la massima efficienza suolo possibile e quindi la minor pendenza di traiettoria reale.,diminuire la velocità all’aria onde ottenere il minimo tasso di caduta possibile.,volare comunque al regime di massima efficienza in aria calma per ottenere la minor pendenza di traiettoria.,1
7036,Quando è necessario controllare che i cordini del parapendio non siano attorcigliati o aggrovigliati?,"Dopo aver gonfiato, sollevato e frenato quanto basta l’ala in fase di decollo.",Subito dopo essere atterrati prima di riporre il parapendio.,Durante la preparazione dell’ala per il decollo.,3
7037,Durante un volo di cross non sempre è possibile atterrare dove previsto. Il pilota dovrebbe conoscere perfettamente:,la tecnica per atterrare senza inconvenienti in un preciso punto di un pendio o una superficie ridotta.,le tecniche di sopravvivenza in montagna per salvaguardarsi in attesa di recuperi.,le tecniche per effettuare atterraggi con il vento anche forte in coda per poter atterrare comunque anche su piccole superfici circondate da eventuali ostacoli.,1
7038,Immediatamente prima di effettuare un decollo in parapendio è necessario eseguire i controlli di sicurezza che sono:,"scarpe allacciate, selletta allacciata e regolata come previsto, bretelle e cordini correttamente predisposti ed impugnati, ala in posizione corretta, casco allacciato, vento e condizioni meteo favorevoli, spazio aereo libero.","casco e guanti indossati, terreno sgombro ed adatto, cassoni dell’ala aperti, vento favorevole e spazio aereo libero.","moschettoni o maillons serrati, integrità dell’ala verificata, selletta correttamente collegata all’ala, freni liberi.",1
7039,"Nel parapendio oltre a curare che la posizione del pilota risulti in volo quella corretta, è indispensabile, affinché l’ala mantenga le caratteristiche garantite dall’omologazione, verificare che il tipo di selletta usato sia compatibile e che vengano rispettate le seguenti disposizioni:",regolare la selletta per ottenere che la distanza tra le bretelle (destra e sinistra) sia sempre superiore a 40 cm.,regolare la selletta in modo che il pilota possa comunque arrivare ad afferrare i cordini anteriori esterni ben sopra i maillons.,regolare la selletta in modo che la distanza tra le bretelle (destra e sinistra) nonché tra i maillons ed il piano della selletta sia quella prevista e riportata sulla targhetta di omologazione.,3
7040,"Se ci rendiamo conto che il nostro parapendio è umido, quali accorgimenti dobbiamo adottare durante il volo:",effettuare le “orecchie” per scendere più velocemente.,"non ci sono particolari accorgimenti da adottare, perché la vela umida non presenta alcun problema di assetto.",pilotare l’ala con dolcezza rimanendo nella fascia alta delle velocità.,3
7041,Il gonfiaggio del parapendio fronte all’ala (spalle al vento) è particolarmente consigliato:,in condizioni di vento sostenuto.,in condizioni di vento al traverso.,in condizioni di vento debole o calmo.,1
7042,Le fasi in cui è possibile pensare di suddividere il decollo in parapendio sono:,"gonfiaggio, rincorsa, involo e successiva presa di velocità.","gonfiaggio, sollevamento e controllo con i freni dell’ala sulla verticale, verifica a vista della stessa, rincorsa ed involo con presa di velocità e mantenimento della traiettoria prevista.","gonfiaggio e sollevamento, controllo con i freni dell’ala, rincorsa ed involo, mantenimento della traiettoria prevista.",2
7043,"Dopo il gonfiaggio del parapendio fronte all’ala finalizzato al decollo, al fine di evitare che l’ala si scomponga o passi davanti nel momento in cui ci si gira e si inizia la rincorsa, è importante:",che la rotazione del pilota avvenga velocemente.,che il pilota abbandoni le maniglie dei freni prima di girarsi per poi riprenderle prontamente fronte al pendio.,che il pilota con l’uso di bretelle e freni assuma e mantenga il completo controllo dell’ala sulla verticale prima di girarsi fronte al pendio.,3
7044,È possibile il decollo in parapendio con limitata componente di vento al traverso?,"Si, senza particolari accorgimenti.","Si, gonfiando l’ala contro vento e conducendola successivamente con un’azione graduale sui freni lungo la linea di massima pendenza del pendio sino allo stacco.","No, il decollo in queste condizioni risulta praticamente impossibile anche al pilota più esperto.",2
7045,Un corretto decollo in parapendio è quello in cui il pilota:,valutata comunque sufficiente la portanza prodotta dall’ala interrompe la rincorsa e si sistema al più presto nella selletta.,"controllata e verificata l’ala adeguatamente, con busto inarcato all’indietro corre guardando l’ala con velocità costante sino allo stacco.","controllata e verificata l’ala adeguatamente, con busto in avanti corre con velocità in progressivo aumento sino allo stacco.",3
7046,La sequenza di interruzione di un decollo in parapendio dovrebbe essere:,interrompere al più presto la corsa e qualora possibile frenare completamente l’ala.,"frenare opportunamente l’ala onde utilizzarla come dispositivo di arresto aerodinamico, ed interrompere gradualmente la corsa.","interrompere gradualmente la corsa per non inciampare, senza badare all’ala dal momento che comunque non si andrà in volo.",2
7047,"Se, a gonfiaggio avvenuto, il pilota trattiene le bretelle anteriori, durante la corsa di decollo, è probabile che:",il decollo avvenga con ritardo e sia necessario correre più a lungo.,il decollo debba essere interrotto in quanto l’ala collasserà per chiusura frontale.,si verifichi una chiusura laterale il cui ricupero dovrà essere fatto solo dopo il decollo.,2
7048,"Se dopo il decollo si constata una chiusura laterale del parapendio, come deve comportarsi il pilota?",Mantenere o ristabilire il controllo direzionale dell’ala e solo dopo averlo fatto intervenire opportunamente per provocare la riapertura dell’estremità collassata.,Intervenire immediatamente per provocare la riapertura dell’estremità collassata trazionando e rilasciando alternativamente il freno dalla parte della chiusura.,Intervenire immediatamente per provocare la riapertura dell’estremità collassata mantenendo trazionato a fondo il freno dalla parte della chiusura.,1
7049,E' possibile eseguire virate in parapendio con il solo spostamento laterale del peso del pilota?,"Si, in modo più o meno accentuato, dipendentemente dal tipo di selletta e dalla sua regolazione.","Si, ma a rischio di provocare uno stallo.",No.,1
7050,"Volendo sfruttare al meglio le prestazioni del parapendio, sarà opportuno che il pilota esegua virate utilizzando il peso e successivamente:",rilasci entrambi i freni per poi trazionare quello interno alla virata.,"rilasci, se trazionato, il freno situato dalla parte opposta al senso di virata per poi modulare l’inclinazione con entrambi i comandi.",trazioni il freno interno per impostare la massima inclinazione.,2
7051,Il parapendio è un mezzo che presenta il vantaggio di poter girare abbastanza stretto da non uscire da una eventuale termica anche se di modeste dimensioni. Quali delle seguenti opzioni è preferibile per sfruttare meglio questo tipo di condizioni?,"Scegliere un ottimo compromesso tra inclinazione laterale e tasso di caduta che consenta comunque di non uscire dalla termica, tenendo conto del suo andamento verticale.",Eseguire comunque virate più piatte possibile per ottenere il minimo tasso di caduta.,Effettuare degli “otto” in modo tale da rimanere entro i limiti della termica stessa.,1
7052,E’ possibile provare l’avvicinamento allo stallo in parapendio e con quale tecnica per garantirsi adeguati margini di sicurezza?,"Si, effettuandolo solo in quota indipendentemente dal modo in cui si interviene sui comandi.","No, tutto ciò che ha a che vedere con lo stallo comunque non può essere effettuato mantenendo adeguati margini di sicurezza in quanto induce sicuramente configurazioni inusuali.","Si, durante un corso SIV, seguiti da istruttore qualificato volando sull’acqua ed effettuandolo con azione dolce e progressiva sui comandi sino al limite dello stallo, provvedendo ad un immediato ricupero delle condizioni normali di volo prima che l’ala collassi bruscamente dietro al pilota.",3
7053,Come si riconosce uno stallo paracadutale del parapendio?,"Ala perfettamente gonfia, velocità all’aria praticamente nulla, tasso di caduta elevato.","Ala perfettamente gonfia, velocità all’aria praticamente nulla, tasso di caduta normale, forti vibrazioni sui comandi.","Ala con chiusura laterale, velocità all’aria praticamente nulla, tendenza dell’ala all’auto rotazione.",1
7054,"In volo con il parapendio può accadere che accidentalmente si raggiunga lo stallo volando troppo lenti. Per una corretta rimessa, il pilota dovrà:",a stallo avvenuto rilasciare immediatamente e velocemente i comandi per poi trazionarli bruscamente durante l’abbattimento in avanti dell’ala.,"a stallo avvenuto mantenere i comandi affondati, attendere guardando verso l’alto il ritorno dell’ala sulla verticale, quindi rilasciare gradualmente e simmetricamente i comandi pronto ad intervenire per gestire il pendolamento in avanti.","a stallo avvenuto rilasciare dolcemente i comandi, iniziando se possibile una virata per acquisire velocità.",2
7055,Quali sono le manovre di discesa rapida in parapendio?,Effettuare virate continue che consentono di aumentare il carico alare.,Fare volare l’ala in condizioni di stallo.,"Le “orecchie”, i “wing over” e la spirale picchiata.",3
7056,Qual è il risultato di una simmetrica e leggera tensione esercitata sugli elevatori posteriori del parapendio?,Aumento della velocità e diminuzione della portanza.,"Variazione dell’assetto, dell’incidenza, della velocità.",Diminuzione della sola incidenza.,2
7057,È possibile in parapendio pilotare facendo uso dei soli elevatori posteriori?,Si.,"Si, ma non è possibile variare la velocità sulla traiettoria.",No.,1
7058,Il pilota che agisce sull’acceleratore sa di poter:,"variare l’assetto, l’incidenza e la velocità dell’ala entro limiti ben precisi.",variare quanto vuole la velocità dell’ala agendo su assetto ed incidenza.,variare consistentemente la pendenza della traiettoria in quanto riesce a produrre ampie variazioni di incidenza.,1
7059,"In volo rettilineo in uscita da una virata, se per effetto di una sovracorrezione si innescano oscillazioni laterali del parapendio il pilota dovrà:",cercare di smorzarle insistendo ad agire sui comandi in contro fase.,rilasciare completamente i comandi per qualche secondo e poi iniziare una virata accentuata a destra o sinistra.,rallentare trazionando con una certa decisione ed in modo simmetrico i comandi sino ad ottenere la stabilizzazione dell'ala.,3
7060,"La corretta sequenza in finale per l’atterraggio in parapendio, in condizioni di vento moderato, è:",massima velocità all’aria sino a circa un metro dal suolo quindi intervento deciso sui comandi per provocare lo stallo.,"massima velocità all’aria possibile sino a circa 4 o 5 metri dal suolo, primo intervento sui comandi per diminuire velocità e pendenza (freni trazionati circa al 20%), graduale ma completa frenata in prossimità del suolo sino al contatto.",regime di minimo tasso di caduta sino a circa due metri dal suolo quindi graduale intervento sui comandi sino a provocare lo stallo.,2
7061,Nella zona di decollo abbiamo vento sufficiente a consentire un gonfiaggio fronte vela ma il vento è laterale (25 gradi) rispetto alla massima pendenza del terreno.,Predisponiamo la vela per il gonfiaggio lungo la massima pendenza per sfruttarla al meglio.,Orientiamo la vela contro vento per gonfiarla e successivamente eseguiamo la corsa di decollo lungo la massima pendenza.,Orientiamo la vela contro vento per gonfiarla e successivamente decolliamo lungo questa direzione.,2
7062,"Decollo in deltaplano. Tra i controlli di sicurezza pre-decollo, uno in particolare risulta essenziale e deve essere eseguito con una tecnica ed una cura particolare perché ha causato svariati e gravi incidenti:",il controllo del posizionamento del deltaplano.,il controllo dell’avvenuto aggancio del pilota al deltaplano.,il controllo del corretto ripiegamento del paracadute di emergenza.,2
7063,Come è necessario verificare nel miglior modo l’avvenuto corretto aggancio del pilota al deltaplano?,"Facendo sorreggere la chiglia del deltaplano da un assistente, disponendosi in posizione orizzontale di volo sospesi all’aggancio, verificando oltre all’aggancio stesso la posizione del corpo rispetto alla barra.",Agganciando il moschettone e verificando attentamente con un controllo visivo che l’aggancio stesso sia correttamente avvenuto.,Facendo verificare dall’assistente che l’aggancio sia stato correttamente effettuato.,1
7064,Quali precauzioni si devono adottare se si intende decollare in deltaplano con vento sostenuto?,Durante la fase immediatamente precedente il decollo far tenere l’estremità alare da un solo assistente.,Accertarsi che durante il decollo nessuno degli assistenti trattenga l’ala.,Provvedere a che gli assistenti spingano adeguatamente la chiglia in fase di decollo.,2
7065,"Se il vento è angolato entro i 45° rispetto alla direzione di decollo, è possibile decollare in deltaplano e come?","No, anche se la componente è moderata.","Si, se la componente è limitata, correndo lungo la linea di massima pendenza con la prua parzialmente orientata contro vento.","Si, anche se la componente è sostenuta, purché si corra contro vento.",2
